"","term","estimate","std.error","statistic","p.value","response","spatialunit","size"
"53","personsPERha",0.0918843816053876,0.0194089502359506,4.73412423074759,2.74168296377279e-06,"fecal","huc","14"
"54","MARCAT_prct",-0.0103281042055684,0.00223455130063261,-4.62200362222358,4.64653850717254e-06,"fecal","huc","14"
"55","ALL_PONDS_prct",-0.0380528181727726,0.0199535026415121,-1.90707460521773,0.0569834808141157,"fecal","huc","14"
"56","SP02",-0.0574229631433103,0.0287174477735861,-1.99958448940324,0.0459910961946413,"fecal","huc","14"
"57","(Intercept)",52.5649934679851,13.9943933292179,3.75614663897135,0.000231753436846792,"metal","huc","08"
"58","SiltClay",1.94780654724081,0.0873927400843181,22.2879674600148,4.91454221987566e-54,"metal","huc","08"
"59","preSON_PRCP_diff",-0.673085757369997,0.140555927088625,-4.78873976581291,3.45332199387324e-06,"metal","huc","08"
"60","SP02",10.4169046006491,2.44003233875541,4.26916661521072,3.14642271190327e-05,"metal","huc","08"
"61","ALL_PONDS_density",-30.414075311225,9.58543026522508,-3.17294836743678,0.00177015723286404,"metal","huc","08"
"62","IMPERV_PRCT",2.69482673810867,1.4409833606054,1.87013036498666,0.0630626524567773,"metal","huc","08"
"63","(Intercept)",6.95484371806953,5.58295618356028,1.24572779893006,0.213234133741987,"metal","huc","10"
"64","SiltClay",1.84149095755836,0.0462412522996516,39.8235529095357,5.55089243511577e-191,"metal","huc","10"
"65","SP02",8.05307049029617,1.38937855866474,5.79616724331457,9.80662726389816e-09,"metal","huc","10"
"66","preSON_PRCP_diff",-0.399460372640252,0.0816259501381644,-4.89379139800645,1.19951036198531e-06,"metal","huc","10"
"67","personsPERha",6.31131511451613,1.38968853148633,4.54153212861728,6.45719373817894e-06,"metal","huc","10"
"68","POORLY_DRAINE_prct",0.213949918820002,0.0829679004720724,2.57870715786063,0.0100971684921985,"metal","huc","10"
"69","(Intercept)",21.3037292465484,1.80884153828663,11.7775541945635,1.20320081627024e-29,"metal","huc","12"
"70","SiltClay",1.85601652981463,0.0453765602449713,40.9025391037726,1.92095499392337e-198,"metal","huc","12"
"71","SP02",8.27376919880571,1.37950337807793,5.99764330431258,3.02685628734748e-09,"metal","huc","12"
"72","preSON_PRCP_diff",-0.390430520617883,0.0813126373969485,-4.80159705940782,1.87794793151932e-06,"metal","huc","12"
"73","IMPERV_PRCT",0.748155166681917,0.16312162471991,4.58648672710652,5.22823988811845e-06,"metal","huc","12"
"74","(Intercept)",21.5804515949282,1.81099569289603,11.9163461733131,2.93995746813712e-30,"metal","huc","14"
"75","SiltClay",1.85798824605474,0.0454885373333544,40.8451965038755,4.11023786080937e-198,"metal","huc","14"
"76","SP02",8.34909090822875,1.38248026605283,6.03921163523478,2.36762565094127e-09,"metal","huc","14"
"77","preSON_PRCP_diff",-0.384745329824029,0.0814397226668608,-4.72429567814071,2.72598466575535e-06,"metal","huc","14"
"78","IMPERV_PRCT",0.719825231985721,0.169343690798294,4.25067641193146,2.38190323010082e-05,"metal","huc","14"
"79","(Intercept)",-48.1068076325653,7.47212928199837,-6.43816585835349,2.149767531621e-10,"pah","huc","08"
"80","personsPERha",127.120361687148,9.29720231908062,13.6729692787538,3.47641984857595e-38,"pah","huc","08"
"81","SiltClay",1.56885362571174,0.162870135919696,9.6325432336182,8.62214767351068e-21,"pah","huc","08"
"82","DJF_PRCP_diff",1.15736848456198,0.461773859368435,2.5063534045537,0.0124075603638917,"pah","huc","08"
"83","MAM_TAVG_diff",10.2688400439911,4.42633637737181,2.31994118126384,0.0206098504426492,"pah","huc","08"
"84","(Intercept)",-38.4330186444315,6.44877557400847,-5.95973889978964,3.8102686899572e-09,"pah","huc","10"
"85","personsPERha",73.8323596559753,4.55370451383601,16.2136913872305,3.1612161982015e-51,"pah","huc","10"
"86","SiltClay",1.48861389695925,0.152267943455125,9.77627899333886,2.21191746175447e-21,"pah","huc","10"
"87","DJF_PRCP_diff",1.24580214628371,0.433111737686858,2.87639894715677,0.00413112798849517,"pah","huc","10"
"88","MAM_TAVG_diff",8.8533813493149,4.06666416371698,2.17706232747353,0.0297724053496445,"pah","huc","10"
"89","(Intercept)",19.6421406254836,14.1707150854606,1.38610793506368,0.166193678411506,"pah","huc","12"
"90","personsPERha",63.11326249934,4.64546063443199,13.5860073878458,3.79065814242895e-37,"pah","huc","12"
"91","SiltClay",1.61602443940016,0.193349057360808,8.35806732889578,3.93021162763782e-16,"pah","huc","12"
"92","ALL_PONDS_density",-19.0567498252925,3.45417124802334,-5.51702520139897,4.99899651748132e-08,"pah","huc","12"
"93","GROUP_A_prct",-1.04561442160078,0.313588456621223,-3.33435239570619,0.000904026501822007,"pah","huc","12"
"94","DJF_PRCP_diff",1.04045882371153,0.528759789085681,1.9677343950656,0.0495272978087415,"pah","huc","12"
"95","MAM_TAVG_diff",6.47135360695455,4.90568816680876,1.31915307025401,0.187586777600169,"pah","huc","12"
"96","(Intercept)",-24.6061709750785,8.87714480776575,-2.77185643671747,0.00574385744651581,"pah","huc","14"
"97","personsPERha",49.2627634052736,4.80857008503157,10.2447843192765,7.80161267047804e-23,"pah","huc","14"
"98","SiltClay",1.50188899406301,0.184484288745733,8.14101300589885,2.21282295337815e-15,"pah","huc","14"
"99","ALL_PONDS_density",-13.7375187456537,3.30837311867463,-4.1523486779983,3.75985929942162e-05,"pah","huc","14"
"100","GROUP_C_prct",6.57815376665093,1.89111306227208,3.47845609968322,0.000540228006056705,"pah","huc","14"
"101","DJF_PRCP_diff",0.82108113967526,0.496121761898273,1.6549992415846,0.0984390203062814,"pah","huc","14"
"102","MAM_TAVG_diff",9.27973787556835,4.75138127534133,1.95306108641044,0.0512692100893552,"pah","huc","14"
"103","(Intercept)",0.139160304988947,0.0484309760732702,2.87337394931736,0.00417575195998146,"pcb","huc","08"
"104","MAM_PRCP_diff",0.0285682480954735,0.0025594691471089,11.1617864695667,7.13957216001261e-27,"pcb","huc","08"
"105","SiltClay",0.0111301336214097,0.00108543675238421,10.254060033403,3.51933667181348e-23,"pcb","huc","08"
"106","DJF_TAVG_diff",-0.151524286002973,0.0176890429807345,-8.56599682458808,6.0425011444508e-17,"pcb","huc","08"
"107","personsPERha",0.345061982854037,0.0625842354487594,5.51356072946764,4.83849447175502e-08,"pcb","huc","08"
"108","(Intercept)",0.174544262391146,0.0440503491049846,3.96238091042495,8.09823748614887e-05,"pcb","huc","10"
"109","MAM_PRCP_diff",0.0281804352789365,0.00251964979272629,11.1842667025742,4.81566370264762e-27,"pcb","huc","10"
"110","SiltClay",0.0109871602860202,0.00106841736637617,10.2835845164948,2.36194337164439e-23,"pcb","huc","10"
"111","DJF_TAVG_diff",-0.148981416254004,0.0171680883339842,-8.67781044434027,2.31688231006577e-17,"pcb","huc","10"
"112","personsPERha",0.181994086647099,0.0328652633267381,5.53758187901188,4.18788455992898e-08,"pcb","huc","10"
"113","(Intercept)",0.203198550310911,0.0426833735597187,4.76060192446162,2.29712870273211e-06,"pcb","huc","12"
"114","MAM_PRCP_diff",0.0284462751292708,0.00250231366292553,11.3679893734878,7.81459640987243e-28,"pcb","huc","12"
"115","SiltClay",0.0110978069800591,0.00105857123486483,10.4837601991672,3.67571142003327e-24,"pcb","huc","12"
