"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","response","spatialunit","size"
"145",0.345850803859195,0.339325624845322,0.745957803950649,53.0025004867869,5.58436057553065e-69,9,-908.541051539575,1837.08210307915,1884.0647836203,446.27534231045,802,"bibi","grid","25"
"146",0.337503766849981,0.332559765110056,0.749767691473584,68.2653009857287,1.22229604276437e-68,7,-913.682555513208,1843.36511102642,1880.95125545934,451.969879306813,804,"bibi","grid","100"
"147",0.364351441759859,0.358281128106815,0.748157991492092,60.0218477305822,4.80612528715112e-68,8,-832.417145369982,1682.83429073996,1724.30629636763,410.289698711142,733,"bibi","grid","400"
"148",0.346831832951055,0.338623256345413,0.750826439933629,42.2523720754053,8.69711103240135e-48,8,-635.753553538484,1289.50710707697,1328.53853865729,314.003370997198,557,"bibi","grid","1600"
"149",0.399682181256871,0.392373964333041,0.102427460551946,54.6894249886938,8.43637427027801e-60,8,505.210585436619,-992.421170873238,-953.107486196084,6.03254618819426,575,"mambi","grid","25"
"150",0.408938673899593,0.400700885382515,0.101723205318552,49.6418029003499,8.02798156796653e-61,9,509.740330503261,-999.480661006523,-955.798789143018,5.93952842716092,574,"mambi","grid","100"
"151",0.433012383082708,0.426109925137628,0.0995434240512123,62.7330708173817,7.58910988581103e-67,8,521.861575282865,-1025.72315056573,-986.409465888576,5.6976136313077,575,"mambi","grid","400"
"152",0.433652853286209,0.423666883444908,0.10264870426363,43.4262129946216,2.08565556031087e-45,8,351.32924547623,-684.65849095246,-648.623507348501,4.18309232533988,397,"mambi","grid","1600"
"153",0.277073754094278,0.263929640532355,0.608745358260419,21.0796835244139,6.18219744269329e-21,7,-307.373711810613,630.747423621226,661.308087064045,122.28840069719,330,"entero","buff","1"
"154",0.271928548461551,0.258690885706307,0.610907796567496,20.542036271004,1.92052714033588e-20,7,-308.568711340116,633.137422680233,663.698086123052,123.158750849294,330,"entero","buff","2"
"155",0.254517638077619,0.2432565752087,0.617234689325789,22.6015644384792,1.6513206648393e-19,6,-312.550751098671,639.101502197342,665.842082709808,126.103937025051,331,"entero","buff","3"
"156",0.44835541626589,0.443467426283436,0.527642728180195,91.7259278098565,1.1550298325263e-97,8,-618.102735719603,1254.20547143921,1296.34444881625,219.941410395137,790,"fecal","buff","1"
"157",0.465232005389779,0.460493554804625,0.519508887415062,98.1823060152632,5.9207704086075e-103,8,-605.70541831035,1229.4108366207,1271.54981399775,213.212692441556,790,"fecal","buff","2"
"158",0.460905460599914,0.456128673541939,0.521606199310738,96.4885926473057,1.39508892506789e-101,8,-608.920542513384,1235.84108502677,1277.98006240382,214.93769145592,790,"fecal","buff","3"
"159",0.684438518151442,0.682864645424018,33.0807226731937,434.875391272318,3.7388410929699e-199,5,-3966.22884735159,7944.45769470319,7972.61763671281,877656.038489761,802,"metal","buff","1"
"160",0.687111925322219,0.685551386296395,32.9402962363759,440.304224342776,1.23805111928498e-200,5,-3962.79587078501,7937.59174157001,7965.75168357963,870220.619144442,802,"metal","buff","2"
"161",0.688251769477049,0.686696915459478,32.880241115819,442.647194977388,2.86989032527854e-201,5,-3961.32324544077,7934.64649088154,7962.80643289116,867050.425179185,802,"metal","buff","3"
"162",0.203723988550783,0.198734790484058,117.629491984315,40.8330128061111,1.88002219396254e-37,6,-4970.91731876903,9955.83463753807,9988.66183242232,11041684.5128215,798,"pah","buff","1"
"163",0.238683506372154,0.233913352903308,115.018321249544,50.0368610634846,3.94737739880603e-45,6,-4952.86884109487,9919.73768218973,9952.56487707398,10556912.9500044,798,"pah","buff","2"
"164",0.264429704419951,0.259820867981479,113.056749957362,57.3745039447849,5.0222379319017e-51,6,-4939.03881400658,9892.07762801317,9924.90482289742,10199899.3113153,798,"pah","buff","3"
"165",0.26627331843847,0.262581611864575,0.774458583435365,72.1274329659331,3.78998775442401e-52,5,-928.170104731282,1868.34020946256,1896.44787982857,476.829947478087,795,"pcb","buff","1"
"166",0.268370796015505,0.26468964278791,0.773350833011242,72.9040003017866,1.22408052589926e-52,5,-927.025001876641,1866.05000375328,1894.15767411929,475.466851180749,795,"pcb","buff","2"
"167",0.270799379653268,0.267130445714416,0.772066227257429,73.8087368610508,3.2937828869875e-53,5,-925.695024531153,1863.39004906231,1891.49771942831,473.888576120858,795,"pcb","buff","3"
"168",0.202584331412103,0.196558520314461,0.225415428042091,33.6194295057461,3.09370528242945e-36,7,60.2836140685195,-104.567228137039,-67.0803405604921,40.3448194683229,794,"ddt","buff","1"
"169",0.203006284692698,0.19698366215889,0.225355780753383,33.7072900639399,2.51771257828456e-36,7,60.4955951249919,-104.991190249984,-67.5043026734368,40.3234709676597,794,"ddt","buff","2"
"170",0.203848985054319,0.196821170294395,0.225378580182857,29.0060270536388,1.01735597921365e-35,8,60.9192873607276,-103.838574721455,-61.6658261978399,40.2808349933558,793,"ddt","buff","3"
"171",0.230273788249051,0.226215477818027,0.112491247614275,56.7412947242011,4.2303978293869e-32,4,440.891393341925,-871.782786683849,-850.028358100276,7.20028576940538,569,"pbde","buff","1"
"172",0.230273788249051,0.226215477818027,0.112491247614275,56.7412947242011,4.2303978293869e-32,4,440.891393341925,-871.782786683849,-850.028358100276,7.20028576940538,569,"pbde","buff","2"
"173",0.230273788249051,0.226215477818027,0.112491247614275,56.7412947242011,4.23039782938671e-32,4,440.891393341925,-871.78278668385,-850.028358100276,7.20028576940538,569,"pbde","buff","3"
"174",0.194785312046278,0.187677490084518,0.00396572755717261,27.4043600267717,8.0910659398017e-34,8,3297.03316656916,-6576.06633313832,-6533.8935846147,0.0124715070807706,793,"ermqddt","buff","1"
"175",0.20796514018924,0.19996478806994,0.00393562021101345,25.9944983780815,7.7761622572124e-36,9,3303.64283001941,-6587.28566003882,-6540.42705056814,0.0122673723047073,792,"ermqddt","buff","2"
"176",0.203445179311042,0.195399171021255,0.00394690000058686,25.2852311337125,6.93671337151331e-35,9,3301.35038613778,-6582.70077227557,-6535.84216280488,0.012337791534789,792,"ermqddt","buff","3"
"177",0.758070903390838,0.756865777131265,0.0143774717609701,629.038573651035,1.08540938667986e-245,5,2283.61638123936,-4555.23276247871,-4527.06539012758,0.165989490472706,803,"ermqmet","buff","1"
