SC_CLIM_DIV,START_DATE,END_DATE,MONTH,YEAR,    PCP,   TAVG,   TMIN,   TMAX,   PDSI,   PHDI,   ZNDX,   PMDI,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24
4,12/1/1992,12/31/1992,12,1992,3.25,46.2,36.8,55.7,2.8,2.8,0.47,2.8,0.07,1.35,1.22,1.05,1.16,0.88,0.49
4,1/1/1993,1/31/1993,1,1993,6.46,48.6,38.8,58.4,3.53,3.53,3.04,3.53,1.63,1.17,1.87,1.91,1.7,1.21,0.43
4,2/1/1993,2/28/1993,2,1993,2.42,45.4,34.5,56.2,2.84,2.84,-0.96,2.4,-0.7,0.77,0.59,1.09,1.44,1.2,0.52
4,3/1/1993,3/31/1993,3,1993,4.35,51.4,39.9,62.9,2.73,2.73,0.54,2.45,0.46,-0.19,0.8,1.31,1.23,1.37,0.43
4,4/1/1993,4/30/1993,4,1993,3.63,58.8,45.4,72.2,2.8,2.8,1.05,2.8,0.41,0.5,0.05,1.34,1.69,1.55,0.56
4,5/1/1993,5/31/1993,5,1993,1.48,70.5,58.5,82.5,-0.72,1.79,-2.16,0.83,-1.5,-0.66,-0.31,0.23,0.8,1.14,0.35
4,6/1/1993,6/30/1993,6,1993,2.65,78.2,66.5,89.7,-1.45,0.8,-2.41,-1.14,-1.26,-2.19,-1.48,-0.26,0.58,0.6,0.36
4,7/1/1993,7/31/1993,7,1993,3.47,84.1,72.3,95.8,-2.46,-2.46,-3.5,-2.46,-1.42,-1.89,-2.19,-1.57,0.05,0.72,0.04
4,8/1/1993,8/31/1993,8,1993,4.08,79.3,68.7,89.9,-2.93,-2.93,-2.17,-2.93,-0.64,-1.46,-2.12,-1.82,-0.95,-0.07,-0.34
4,9/1/1993,9/30/1993,9,1993,4.83,75.5,64.7,86.3,-2.87,-2.87,-0.71,-2.87,0.34,-0.27,-1.01,-1.64,-0.84,-0.01,-0.09
4,10/1/1993,10/31/1993,10,1993,4.26,63.3,52,74.6,-2.38,-2.38,0.58,-2.07,0.71,0.56,0.13,-1.5,-1.22,0.1,0.19
4,11/1/1993,11/30/1993,11,1993,1.72,54.9,43.3,66.4,-2.57,-2.57,-1.31,-2.57,-0.39,0.31,0.27,-1.15,-1.25,-0.68,0.06
4,12/1/1993,12/31/1993,12,1993,2.61,44.3,32.8,55.8,-2.65,-2.65,-1.05,-2.65,-0.35,-0.6,0.03,-0.82,-1.44,-0.79,0.06
4,1/1/1994,1/31/1994,1,1994,5.39,42.4,30.6,54.2,-1.67,-1.67,2.14,-0.7,1.18,0.57,0.23,0.18,-1.09,-0.96,0.19
4,2/1/1994,2/28/1994,2,1994,2.2,49,37.2,60.7,-1.96,-1.96,-1.41,-1.55,-0.83,0.28,0.01,0.23,-0.93,-1,0.14
4,3/1/1994,3/31/1994,3,1994,5.03,57.3,44.2,70.5,-1.57,-1.57,0.57,-0.88,0.82,0,0.63,0.41,-0.26,-0.86,0.4
4,4/1/1994,4/30/1994,4,1994,1.55,64.8,51,78.6,-2.04,-2.04,-1.9,-2.04,-1.06,-0.09,-0.51,-0.19,-0.11,-1.21,0.35
4,5/1/1994,5/31/1994,5,1994,2.26,67.3,54.8,79.8,-2.23,-2.23,-1.2,-2.23,-0.83,-1.42,-0.55,-0.35,-0.1,-1.04,0.14
4,6/1/1994,6/30/1994,6,1994,6.3,78.4,68.2,88.5,0.39,-1.62,1.16,-1.03,0.81,0.14,-0.45,0.13,0.09,-0.45,0.12
4,7/1/1994,7/31/1994,7,1994,7.33,80,71,89,0.75,-1.05,1.21,0.1,0.82,1.01,0.51,0.03,0.14,0.14,0.57
4,8/1/1994,8/31/1994,8,1994,5.63,77,67.2,86.8,0.9,-0.71,0.69,0.71,0.15,0.61,0.92,0.37,0.32,0.42,0.18
4,9/1/1994,9/30/1994,9,1994,5.28,71.5,60.9,82,1.25,1.25,1.33,1.25,0.48,0.36,0.68,0.21,0.46,0.37,0.29
4,10/1/1994,10/31/1994,10,1994,5.07,62,50.7,73.2,2.02,2.02,2.69,2.02,0.96,0.86,0.78,0.89,0.5,0.55,0.38
4,11/1/1994,11/30/1994,11,1994,3.09,58.1,46.2,70.1,2.02,2.02,0.62,2.02,0.51,0.95,0.87,1.19,0.85,0.7,0.05
4,12/1/1994,12/31/1994,12,1994,8.41,50.4,40.9,59.9,3.59,3.59,5.35,3.59,2.44,1.96,1.84,1.77,1.34,1.43,0.52
4,1/1/1995,1/31/1995,1,1995,6.39,45.5,34.8,56.1,4.29,4.29,3.19,4.29,1.6,2.7,2.33,1.9,1.97,1.54,0.48
4,2/1/1995,2/28/1995,2,1995,4.88,45,34.5,55.5,4.33,4.33,1.45,4.33,0.71,1.64,2.65,2.01,2.31,1.95,0.74
4,3/1/1995,3/31/1995,3,1995,2.25,56.6,43.5,69.6,3.26,3.26,-1.88,2.48,-0.91,-0.04,0.88,1.81,1.87,1.56,0.55
4,4/1/1995,4/30/1995,4,1995,0.82,64.4,51,77.9,2.05,2.05,-2.6,0.26,-1.73,-1.81,-0.83,1.27,1.37,1.5,0.32
4,5/1/1995,5/31/1995,5,1995,3.53,71.8,59.5,84.2,1.57,1.57,-0.8,-0.46,0.08,-1.09,-1.49,1.22,1.36,1.61,0.49
4,6/1/1995,6/30/1995,6,1995,9.01,75.6,66,85.3,2.82,2.82,4.24,2.27,1.94,1.62,0.68,1.01,1.84,1.88,1.02
4,7/1/1995,7/31/1995,7,1995,4.97,80.8,70.7,91,2.44,2.44,-0.27,1.76,-0.27,1.11,0.98,0.19,1.52,1.58,1.16
4,8/1/1995,8/31/1995,8,1995,8.46,80,70.4,89.5,3.07,3.07,2.64,3.07,1.35,0.77,1.69,0.58,1.88,1.9,1.49
4,9/1/1995,9/30/1995,9,1995,3.03,72.2,63.1,81.2,2.65,2.65,-0.33,2.45,-0.42,0.52,0.24,0.5,0.84,1.63,1.35
4,10/1/1995,10/31/1995,10,1995,7.53,66.1,55.2,77,3.82,3.82,4.34,3.82,1.6,0.91,1.37,1.63,1.05,1.85,1.57
4,11/1/1995,11/30/1995,11,1995,3.04,50.7,38.3,63.1,3.84,3.84,1.25,3.84,0.48,1.53,0.91,1.71,1.01,1.99,1.73
4,12/1/1995,12/31/1995,12,1995,2.1,43,31.4,54.6,3.28,3.28,-0.51,3.02,-0.73,-0.21,1.06,0.89,1,1.24,1.97
4,1/1/1996,1/31/1996,1,1996,2.93,43.5,32.3,54.6,2.87,2.87,-0.2,2.48,-0.1,-0.6,-0.3,0.9,1.28,0.79,1.7
4,2/1/1996,2/29/1996,2,1996,1.9,47.4,35,59.8,2.04,2.04,-1.61,0.98,-1.01,-0.88,-1.05,0.14,1.03,0.4,1.66
4,3/1/1996,3/31/1996,3,1996,5.06,50.2,38.6,61.8,2.26,2.26,1.28,1.66,0.83,-0.11,-0.21,0.65,0.63,0.78,1.6
4,4/1/1996,4/30/1996,4,1996,3.26,61.2,48.5,73.8,2.15,2.15,0.36,1.64,0.18,0.64,-0.01,-0.24,0.76,1.12,1.62
4,5/1/1996,5/31/1996,5,1996,2.97,71.8,59.6,84,1.69,1.69,-0.7,0.9,-0.3,-0.1,0.35,-0.54,0.22,1.01,1.67
4,6/1/1996,6/30/1996,6,1996,4.33,76.8,66,87.5,1.47,1.47,-0.15,0.6,-0.2,-0.42,-0.28,-0.38,0.38,0.4,1.46
4,7/1/1996,7/31/1996,7,1996,6.56,80.3,70.3,90.3,1.44,1.44,0.37,0.69,0.51,0.17,-0.1,-0.1,-0.26,0.62,1.43
4,8/1/1996,8/31/1996,8,1996,5.7,77.3,67.9,86.6,1.45,1.45,0.48,0.83,0.18,0.37,0.19,0.32,-0.32,0.32,1.44
4,9/1/1996,9/30/1996,9,1996,8.57,72.9,62.7,83,2.53,2.53,3.66,2.53,1.33,1.22,1.25,0.8,0.51,0.93,1.65
4,10/1/1996,10/31/1996,10,1996,3.93,62.5,50.5,74.6,2.82,2.82,1.65,2.82,0.59,1.31,1.22,0.93,0.74,0.55,1.56
4,11/1/1996,11/30/1996,11,1996,2.16,50.2,37.9,62.6,2.65,2.65,0.37,2.65,-0.06,0.34,1.12,0.95,1,0.39,1.56
4,12/1/1996,12/31/1996,12,1996,2.57,48.7,36.6,60.8,2.25,2.25,-0.38,2.02,-0.38,-0.4,0.05,0.95,0.64,0.44,1.2
4,1/1/1997,1/31/1997,1,1997,3.71,45.8,35.5,56.2,2.17,2.17,0.45,2.07,0.36,-0.08,-0.17,0.83,0.67,0.55,0.88
